lambda	absorbtion
1764	7.89E+00
1765	7.95E+00
1766	8.00E+00
1767	8.04E+00
1768	8.10E+00
1769	8.15E+00
1770	8.21E+00
1771	8.24E+00
1772	8.26E+00
1773	8.32E+00
1774	8.35E+00
1775	8.39E+00
1776	8.43E+00
1777	8.45E+00
1778	8.48E+00
1779	8.51E+00
1780	8.54E+00
1781	8.56E+00
1782	8.59E+00
1783	8.62E+00
1784	8.64E+00
1785	8.67E+00
1786	8.69E+00
1787	8.72E+00
1788	8.74E+00
1789	8.76E+00
1790	8.78E+00
1791	8.78E+00
1792	8.78E+00
1793	8.79E+00
1794	8.80E+00
1795	8.81E+00
1796	8.81E+00
1797	8.81E+00
1798	8.80E+00
1799	8.79E+00
1800	8.79E+00
1801	8.78E+00
1802	8.77E+00
1803	8.75E+00
1804	8.75E+00
1805	8.74E+00
1806	8.74E+00
1807	8.73E+00
1808	8.74E+00
1809	8.75E+00
1810	8.76E+00
1811	8.78E+00
1812	8.79E+00
1813	8.79E+00
1814	8.80E+00
1815	8.79E+00
1816	8.81E+00
1817	8.82E+00
1818	8.84E+00
1819	8.85E+00
1820	8.85E+00
1821	8.86E+00
1822	8.87E+00
1823	8.87E+00
1824	8.88E+00
1825	8.89E+00
1826	8.90E+00
1827	8.92E+00
1828	8.95E+00
1829	8.97E+00
1830	9.01E+00
1831	9.03E+00
1832	9.11E+00
1833	9.15E+00
1834	9.20E+00
1835	9.26E+00
1836	9.31E+00
1837	9.38E+00
1838	9.46E+00
1839	9.54E+00
1840	9.63E+00
1841	9.72E+00
1842	9.82E+00
1843	9.94E+00
1844	1.01E+01
1845	1.02E+01
1846	1.03E+01
1847	1.04E+01
1848	1.06E+01
1849	1.08E+01
1850	1.09E+01
1851	1.11E+01
1852	1.14E+01
