wavelength	P1	P2	P3	P4	P5	P6	P7	P8	P9
538	0.032034756	0.045399855	0.02913862	0.038752369	0.026110888	0.023953041	0.034519644	0.032070933	0.026599842
539	0.032236108	0.045726296	0.029345626	0.039023752	0.02628663	0.024115646	0.034766752	0.032289252	0.026783002
540	0.032420796	0.046028148	0.029535225	0.039276679	0.026450378	0.024264286	0.034994758	0.032491161	0.026947554
541	0.032591826	0.046308717	0.029708651	0.039514891	0.026605013	0.024401866	0.035206064	0.032678702	0.027098586
542	0.032753929	0.046578584	0.029870264	0.03974185	0.026750691	0.024534285	0.035409466	0.032860136	0.027249142
543	0.032912006	0.046843063	0.03002719	0.039960611	0.026891973	0.024662615	0.035605512	0.033035872	0.027392988
544	0.033067414	0.047103603	0.030184478	0.040175007	0.027031606	0.024787745	0.035795959	0.033205942	0.027528564
545	0.033218225	0.047360081	0.030339955	0.040385214	0.027168427	0.024910255	0.035984815	0.033370844	0.027663071
546	0.033367816	0.047613119	0.030487048	0.04058884	0.027302403	0.025029626	0.036171067	0.033530246	0.027795871
547	0.033513874	0.047858994	0.030627757	0.04078649	0.027433591	0.025146501	0.036350205	0.033681778	0.027925229
548	0.033648626	0.048089467	0.030764044	0.04097506	0.027558113	0.025258892	0.036518415	0.033822595	0.028047541
549	0.033768284	0.048292656	0.030887534	0.041145015	0.027667225	0.025355591	0.036671927	0.033948108	0.028154002
550	0.033867002	0.048463054	0.030993532	0.041288994	0.027756797	0.025436145	0.036800223	0.034052855	0.028242494
551	0.033939271	0.048595216	0.031076299	0.041402033	0.027825002	0.025499687	0.036895562	0.034131027	0.028309139
552	0.033989304	0.048686159	0.031134983	0.041485887	0.027872629	0.025542962	0.036963479	0.034179695	0.028349654
553	0.034007747	0.048732185	0.031163274	0.041531289	0.027891541	0.02556235	0.036997023	0.03419702	0.028363687
554	0.033988406	0.048728912	0.031158209	0.041532597	0.02787905	0.02555544	0.036992549	0.034181178	0.028349744
555	0.033929156	0.048665646	0.031117343	0.041486128	0.027837333	0.025517099	0.036945938	0.034124456	0.028297214
556	0.03382898	0.048539778	0.031041955	0.041395933	0.027760576	0.025446886	0.036851833	0.034026613	0.02820656
557	0.033690729	0.04835367	0.030930619	0.041265152	0.02765	0.025347128	0.03671525	0.033892015	0.028085018
558	0.033519845	0.048114907	0.0307813	0.0410941	0.027511137	0.025221207	0.036544826	0.033725793	0.027939262
559	0.03331924	0.04783228	0.030603751	0.040889533	0.027349758	0.025072186	0.036340455	0.03352859	0.027769482
560	0.033090957	0.047507175	0.030402957	0.040654297	0.027168195	0.024901727	0.036106683	0.033301563	0.027575122
561	0.032834642	0.047137218	0.03017525	0.040385064	0.026962008	0.024707376	0.035845116	0.033044486	0.027353596
562	0.032558702	0.046737604	0.029926339	0.040092463	0.026731204	0.024496861	0.035554755	0.032763641	0.027114905
563	0.032262734	0.046310016	0.029658233	0.039773007	0.026480912	0.024270182	0.035241296	0.032457352	0.026857551
564	0.031945667	0.045853373	0.02937048	0.039427333	0.026214166	0.024024828	0.034907983	0.032127783	0.026579465
565	0.031604959	0.04536827	0.029062319	0.039059381	0.025928733	0.02376203	0.034547281	0.031781815	0.02628411
566	0.031239354	0.044848163	0.028732556	0.038663122	0.025623938	0.023479029	0.034158943	0.031413145	0.025966812
567	0.030849226	0.044288302	0.028379986	0.038236643	0.025298805	0.023175344	0.033743674	0.031018255	0.025624633
568	0.030437714	0.043694754	0.028006514	0.037785614	0.024951599	0.022854853	0.033302137	0.030602548	0.025261699
569	0.03001116	0.043077549	0.027620065	0.037319673	0.024593377	0.022523349	0.032846848	0.030175688	0.024887831
570	0.029578039	0.042450171	0.027227221	0.036844383	0.024232314	0.022188388	0.032387071	0.029743526	0.024511774
571	0.02914607	0.041826013	0.026835564	0.036364584	0.023872646	0.021856555	0.031926124	0.029309607	0.024137722
572	0.028721352	0.041209502	0.026453783	0.035890374	0.023521578	0.021532124	0.031471168	0.028882408	0.023770847
573	0.0283093	0.040610305	0.026082102	0.035428247	0.02318043	0.021216576	0.031027455	0.028465519	0.023416011
574	0.02791805	0.040044154	0.025724082	0.03498868	0.022853403	0.020914559	0.030604479	0.028067348	0.023080629
575	0.027542316	0.039504416	0.025383393	0.034566632	0.022545799	0.020629048	0.030208016	0.027687923	0.022763157
576	0.027189284	0.038996064	0.025065066	0.034170204	0.022259216	0.020360399	0.029835672	0.027334388	0.022464383
577	0.026861616	0.038522705	0.024768493	0.033805355	0.021989778	0.020108361	0.029483102	0.027008508	0.022185179
578	0.026554106	0.038084554	0.024488794	0.033463945	0.021733803	0.019872627	0.029152576	0.026700569	0.021923252
579	0.026265576	0.03767722	0.024223612	0.033141538	0.021492724	0.019651295	0.028844481	0.026410142	0.021676509
